Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 OCT 2024,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,18 OCT 2024,               2.00,         157393988,            910.00,   143228529080.00     
18 OCT 2024,AKZOINDIA,EQ,AKZO NOBEL INDIA LIMITED ,Listed    ,18 OCT 2024,              10.00,          45540314,           3910.85,   178101337006.90 
18 OCT 2024,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,18 OCT 2024,               1.00,         271158100,             21.50,     5835322312.00   
18 OCT 2024,ALBERTDAVD,BE,ALBERT DAVID LIMITED     ,Listed    ,18 OCT 2024,              10.00,           5707162,           1356.35,     7740909178.70
18 OCT 2024,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,18 OCT 2024,               2.00,         256781828,            133.65,    34313755675.65
18 OCT 2024,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,18 OCT 2024,               5.00,          16261840,           1313.75,    21363992300.00    
18 OCT 2024,ALKALI,EQ,ALKALI METALS LTD        ,Listed    ,18 OCT 2024,              10.00,          10182506,            120.85,     1230352200.00    
18 OCT 2024,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,18 OCT 2024,               2.00,         119565000,           6132.75,   733262253750.00     
18 OCT 2024,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,18 OCT 2024,               2.00,          51131032,           2237.60,   114410797203.20
18 OCT 2024,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,18 OCT 2024,               2.00,         982782096,             60.35,    59310899493.60  
18 OCT 2024,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,18 OCT 2024,              10.00,          15238326,           1104.80,    16835302564.80   
18 OCT 2024,ALLETEC,SM,ALL E TECHNOLOGIES LTD   ,Listed    ,18 OCT 2024,              10.00,          20194176,            443.45,     8955107347.20   
18 OCT 2024,ALMONDZ,BE,ALMONDZ GLOBAL SEC LTD   ,Listed    ,18 OCT 2024,               1.00,         168340584,             32.10,     5402049340.55   
18 OCT 2024,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,18 OCT 2024,               1.00,        4965240401,             23.40,   116136972979.40  
18 OCT 2024,ALPA,BE,ALPA LABORATORIES LTD    ,Listed    ,18 OCT 2024,              10.00,          21040600,            118.05,     2483422018.00      
18 OCT 2024,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,18 OCT 2024,              10.00,          24473400,            935.50,    22894865700.00
