SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
DUDIG-RE,ST,INE0HPK20012,DUDIGITAL GLOBAL LIMITED,RE                                                                                                  
MARSHAL-RE,BE,INE00SZ20018,MARSHALL MACHINES LIMITED,RE                                                                                               
SENSEXIETF,EQ,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
SENSEXIETF,BL,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
MIDSELIETF,BL,INF109KC10W0,ICICI PRUD MIDCAP SEL ETF,EF                                                                                               
HEALTHADD,EQ,INF740KA1UF4,DSPAMC - HEALTHADD,EF                                                                                                       
MAGNUM-RE,BE,INE387I20016,MAGNUM VENTURES LIMITED,RE                                                                                                  
ADRO-RE,EQ,INE737B20017,ADROIT INFOTECH LIMITED,RE                                                                                                    
SMALLCAP,EQ,INF769K01LC3,MIRAEAMC - SMALLCAP,EF                                                                                                       
IRBIT-RE1,BL,INE0C8K20059,IRB INFRA TRUST RE,RE                                                                                                       
MOSMALL250,BL,INF247L01CH6,MOTILALAMC - MOSMALL250,EF                                                                                                 
MITCON-RE,BE,INE828O20017,MITCON CON,RE                                                                                                               
SAHANA-RE,ST,INE0LEX20011,SAHANA SYSTEM LIMITED,RE                                                                                                    
538633,MF,INF204KA1ST8,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICICONSU,BL,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
543181,MF,INF204KB13T1,Nippon India Mutual Fund,EF                                                                                                    
543173,MF,INF204KB14U7,Nippon India Mutual Fund,EF                                                                                                    
543176,MF,INF204KB16U2,Nippon India Mutual Fund,EF                                                                                                    
PVR-RE,BL,INE191H20014,PVR LIMITED RE,RE                                                                                                              
MOLDTKPAC,W1,INE893J13016,MOLD TEK PACKAGING LTD,RE                                                                                                   
SEPC-RE2,BL,INE964H20030,SEPC LIMITED,RE                                                                                                              
BROOKS-RE,BE,INE650L20011,BROOKS LAB LIMITED,RE                                                                                                       
NIFTY50ADD,EQ,INF740KA1CL0,DSPAMC - DSPN50ETF,EF                                                                                                      
PSUBANKADD,BL,INF740KA1SY9,DSPAMC - DSPPSBKETF,EF                                                                                                     
GICL-RE,ST,INE947T20014,GLOBE INTL CARRIERS LTD,RE                                                                                                    
METALIETF,EQ,INF109KC19W1,ICICIPRAMC - METALIETF,EF                                                                                                   
