ScripCode,Symbol,NSE Exclusive,Status,Series,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under BZ/SZ Series,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
NA,ACCORD,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,ACCURACY,Y,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,ACSAL,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,ADL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AGARWALFT,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,AGUL,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,AHIMSA,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AILIMITED,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,AIMTRON,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AIRAN,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AISL,Y,A,ST,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AJOONI,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AKANKSHA,Y,A,SM,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,AKSHAR,N,A,EQ,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,ALBERTDAVD,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
