454,LTIM,INE214T01019,6394.45,20
455,SYMPHONY,INE225D01027,1784.2,20
456,SGBOCT26,IN0020180249,7999,10
457,HINDOILEXP,INE345A01011,216.8,20
458,MON100,INF247L01AP3,165.75,6.82
459,VIPIND,INE054A01027,514.95,20
460,SUPRIYA,INE07RO01027,556.4,20
461,PTC,INE877F01012,187.52,20
462,HDFCAMC,INE127D01025,4728.65,20
463,JUSTDIAL,INE599M01018,1194.4,20
464,GOLD1,INF174KA1HJ8,64.84,20
465,ACE,INE731H01025,1388.5,20.18
466,SGBJ28VIII,IN0020190537,8000,10
467,LIQUIDETF,INF740KA1EU7,1000,5
468,UJJIVANSFB,INE551W01018,39.3,20
469,KALYANKJIL,INE303R01014,728.05,20
470,SYRMA,INE0DYJ01015,405.75,20
471,SPANDANA,INE572J01011,500.75,20
472,BALRAMCHIN,INE119A01028,638.65,20
473,PATELENG,INE244B01030,56.5,21.64
474,TATAELXSI,INE670A01012,7365.1,20
475,SGBMAR31IV,IN0020220169,8390,10
476,DBL,INE917M01012,498.6,20
477,SGBJAN30IX,IN0020210236,8176.4,10
478,PNBHOUSING,INE572E01012,933.65,20
479,PSUBNKBEES,INF204KB16I7,73.33,20
480,ADANIPORTS,INE742F01042,1394.7,16.63
481,IRMENERGY,INE07U701015,419.2,20
482,HINDZINC,INE267A01025,508.2,20
483,ORCHPHARMA,INE191A01027,1335.6,20
484,NYKAA,INE388Y01029,186.23,20
485,JISLJALEQS,INE175A01038,61.68,22.2
486,J&KBANK,INE168A01041,97.11,20
487,SGBSEP29VI,IN0020210145,8120.51,10
488,PSB,INE608A01012,52.17,20.73
489,KIMS,INE967H01025,542.15,20
490,VIJAYA,INE043W01024,1001.35,20
491,BANCOINDIA,INE213C01025,710.05,20
492,METROPOLIS,INE112L01020,2187.8,20
493,TTKPRESTIG,INE690A01028,898.3,20
494,HGINFRA,INE926X01010,1467.1,20
495,PCBL,INE602A01031,480.8,20
496,TATACOMM,INE151A01013,1830.05,20
497,PITTIENG,INE450D01021,1287.45,20
498,ATGL,INE399L01023,735.1,20.75
499,DATAPATTNS,INE0IX101010,2447.85,20
500,RAINBOW,INE961O01016,1452.15,20
501,TEXRAIL,INE621L01012,209.09,22.82
502,SUNDRMFAST,INE387A01021,1418.1,20
503,ASHOKLEY,INE208A01029,219.56,20
504,AMBER,INE371P01015,5482.8,20
505,VESUVIUS,INE386A01015,5775.25,20
506,GSPL,INE246F01010,395.1,20
507,SGBDC27VII,IN0020190461,8199,10
508,TATAMOTORS,INE155A01022,891.6,11.92
509,SGBNOV25IX,IN0020170117,7950,10
510,ASKAUTOLTD,INE491J01022,417.8,20
511,FORCEMOT,INE451A01017,6938.1,22.04
512,BATAINDIA,INE176A01028,1435,20
513,INFIBEAM,INE483S01020,28.9,20.23
514,ORIENTELEC,INE142Z01019,233.17,20
515,CSBBANK,INE679A01013,311.75,20
516,MOLDTKPAC,INE893J01029,735.2,20
517,JKCEMENT,INE823G01014,4291.55,20
518,WABAG,INE956G01038,1777.9,20
519,AVANTIFEED,INE871C01038,617.9,20
520,ASHOKA,INE442H01029,249.69,20
521,RATNAMANI,INE703B01027,3579.6,20
522,POLYMED,INE205C01021,2432.35,20
523,COROMANDEL,INE169A01031,1591.8,20
524,CIEINDIA,INE536H01010,528.85,20
525,SGBDEC26,IN0020180389,8150,10
526,GLENMARK,INE935A01035,1735.3,20
527,SAMHI,INE08U801020,196.71,20
528,LT,INE018A01030,3570.3,10.38
529,STARHEALTH,INE575P01011,549.65,20
530,AXISBANK,INE238A01034,1131.85,9.59
531,RAILTEL,INE0DD101019,430.8,24.39
532,JSWENERGY,INE121E01018,676.55,20
533,ELECTCAST,INE086A01029,194.45,20.59
534,CAPACITE,INE264T01014,370.1,20
535,BSE,INE118H01025,4257.55,23.54
536,IPCALAB,INE571A01038,1647.3,20
537,FDC,INE258B01022,546.6,20
538,CENTRALBK,INE483A01010,58.97,20
539,HINDPETRO,INE094A01015,433.35,20
540,BAJFINANCE,INE296A01024,6899.5,10.35
541,NLCINDIA,INE589A01014,261.85,21.14
542,SURYAROSNI,INE335A01020,669.65,20
543,LTGILTBEES,INF204KB1882,26.85,10
544,KESORAMIND,INE087A01019,209.05,20
545,INGERRAND,INE177A01018,4474.6,20
546,ABBOTINDIA,INE358A01014,28371.7,20
547,PARADEEP,INE088F01024,90.04,20
548,DEN,INE947J01015,49.17,20
549,IOC,INE242A01010,164.28,20
550,OBEROIRLTY,INE093I01010,1903.7,20
551,BALKRISIND,INE787D01026,2970.75,20
552,IEX,INE022Q01020,191.16,20
553,EMBDL,INE069I01010,128.78,22.79
554,ENDURANCE,INE913H01037,2394.35,20
555,MIDHANI,INE099Z01011,371.95,20
556,DREAMFOLKS,INE0JS101016,460.4,20
557,ANUP,INE294Z01018,2718.5,20
558,STYLEBAAZA,INE01FR01028,356.35,20
559,INDHOTEL,INE053A01029,687.3,20
560,AUTOBEES,INF204KC1337,255.76,20
561,PNB,INE160A01022,102.46,20
562,ISGEC,INE858B01029,1419,20
563,FSL,INE684F01012,338.2,20
564,ULTRACEMCO,INE481G01011,11017.3,9
565,ASTRAZEN,INE203A01020,7627.45,20
566,PRINCEPIPE,INE689W01016,539.75,20
567,BANKBARODA,INE028A01039,241.96,20
568,ICICIGI,INE765G01017,2040.45,20
569,GHCL,INE539A01019,610.35,20
570,SUNPHARMA,INE044A01036,1889.55,9
571,LIQUIDCASE,INF0R8F01034,104.87,5
572,RAMCOCEM,INE331A01037,848.9,20
573,GLAND,INE068V01023,1639.65,20
574,BEL,INE263A01024,284.55,15.04
575,SKIPPER,INE439E01022,574.25,25.99
576,BCLIND,INE412G01024,56.4,20.3
577,CONCOR,INE111A01025,868.9,20
578,SWARAJENG,INE277A01016,3004.2,20
579,SGBDEC25XI,IN0020170133,8100,10
580,INDGN,INE065X01017,681.2,20
581,SAMMAANCAP,INE148I01020,140.82,20
582,FMCGIETF,INF109KC19V3,64.86,20
583,GAIL,INE129A01019,222.02,20
584,PATANJALI,INE619A01035,1741.7,20
585,CREDITACC,INE741K01010,1047.35,20
586,DELHIVERY,INE148O01028,399.45,20
587,ABFRL,INE647O01011,330.7,20
588,FINPIPE,INE183A01024,312.4,20
589,SGBJU29III,IN0020210087,8128.18,10
590,IOB,INE565A01014,55.97,20.74
591,TMB,INE668A01016,441.35,20
592,SCHAEFFLER,INE513A01022,4010.45,20
593,ICICIPRULI,INE726G01019,735.15,20
594,CHOICEIN,INE102B01014,480,20
595,ISEC,INE763G01038,845.4,20
596,ABCAPITAL,INE674K01013,218.49,20
597,UTIAMC,INE094J01016,1304.5,20
598,TIMETECHNO,INE508G01029,453.65,20.42
599,BAJAJCON,INE933K01021,226.66,20
600,GLOBUSSPR,INE615I01010,1081.45,20
601,MANINFRA,INE949H01023,191.5,20
602,BALUFORGE,INE011E01029,800.7,20
603,DIXON,INE935N01020,15130.85,20
604,CONCORDBIO,INE338H01029,2018.9,20
605,MSUMI,INE0FS801015,63.85,20
606,CYIENT,INE136B01020,1858.85,20
