ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF174K01VSI,174K01VSI,DP,OMF,9,23.74
INF174KA1ON6,174KA1ON6,DR,OMF,9,15.96
INF174KA1QW2,174KA1QW2,GR,OMF,9,12.74
INF174KA1QX0,174KA1QX0,DP,OMF,9,12.74
INF174KA1QY8,174KA1QY8,DR,OMF,9,12.74
INF174KA1QZ5,174KA1QZ5,GR,OMF,9,12.85
INF174KA1RC2,174KA1RC2,GR,OMF,9,10.62
INF174KA1RF5,174KA1RF5,GR,OMF,9,10.64
INF174KA1RW0,174KA1RW0,GR,OMF,9,10.84
INF174KA1RZ3,174KA1RZ3,GR,OMF,9,10.87
INF174KA1SF3,174KA1SF3,GR,OMF,9,10.34
INF174V01BZ5,174V01BZ5,GR,OMF,9,10.11
INF174V01CC2,174V01CC2,GR,OMF,9,10.16
INF903J01NL7,176DED1,DP,OMF,9,20.81
INF903J01MZ9,176FSD1,DP,OMF,9,34.56
INF903J01NA0,176FSD1,DR,OMF,9,34.56
INF903JA1KI5,176ISB2,DR,OMF,9,15.15
INF178L01AZ9,178L01AZ9,DP,OMF,9,1463.57
INF179K01731,179K01731,DP,OMF,9,10.04
INF179K01749,179K01749,DR,OMF,9,10.04
INF179KB10R5,179KB10R5,DP,OMF,9,10.09
INF179KB13R9,179KB13R9,DR,OMF,9,10.06
INF179KB15Q6,179KB15Q6,GR,OMF,9,14.68
INF179KB16Q4,179KB16Q4,DR,OMF,9,10.09
INF179KB17Q2,179KB17Q2,DR,OMF,9,10.06
INF179KB18Q0,179KB18Q0,DP,OMF,9,10.06
INF179KB19Q8,179KB19Q8,DR,OMF,9,10.09
INF179KB1MF0,179KB1MF0,GR,OMF,9,57.28
INF179KB1MH6,179KB1MH6,GR,OMF,9,43.27
INF179KB1MJ2,179KB1MJ2,GR,OMF,9,23.47
INF179KC1IF7,179KC1IF7,GR,OMF,9,11
INF179KC1IG5,179KC1IG5,DP,OMF,9,11
INF179KC1IH3,179KC1IH3,DR,OMF,9,11
INF179KC1II1,179KC1II1,GR,OMF,9,11.07
INF179KC1IJ9,179KC1IJ9,DP,OMF,9,11.07
INF179KC1IK7,179KC1IK7,DR,OMF,9,11.07
INF0GCD01107,185BFDGGR,GR,OMF,9,1225.43
INF0GCD01016,185BFRGGR,GR,OMF,9,1202.92
INF0GCD01560,185CBGP,GR,OMF,9,1139.4
INF0GCD01537,185CBRG,GR,OMF,9,1131.49
INF0GCD01370,185STDGGR,GR,OMF,9,1201.61
INF200K01SI1,200K01SI1,DP,GMF,10,20.27
INF200K01SJ9,200K01SJ9,DR,GMF,10,20.27
INF200K01SK7,200K01SK7,GR,GMF,10,62.32
INF200K01SW2,200K01SW2,DR,GMF,10,13.15
INF200K01SX0,200K01SX0,DP,GMF,10,16.7
INF200K01SY8,200K01SY8,DR,GMF,10,16.7
INF0GCD01313,185STRGGR,GR,OMF,9,1182.54
INF192K01GX4,192K01GX4,DP,OMF,9,17.02
INF192K01NE0,192K01NE0,GR,OMF,9,10.85
INF192K01NH3,192K01NH3,GR,OMF,9,10.92
INF194K01FW4,194K01FW4,DP,OMF,9,10.1
INF194K01GC4,194K01GC4,DP,OMF,9,10.12
INF194KA12Q4,194KA12Q4,DP,OMF,9,10.05
INF194KA19K2,194KA19K2,DR,OMF,9,10.56
INF194KB1HV8,194KB1HV8,GR,OMF,9,10.66
INF194KB1HY2,194KB1HY2,GR,OMF,9,10.68
INF194KB1IB8,194KB1IB8,GR,OMF,9,12.74
INF200K01TA6,200K01TA6,DP,GMF,10,14.92
INF200K01TB4,200K01TB4,DR,GMF,10,14.92
INF200K01TJ7,200K01TJ7,DR,GMF,10,1252.48
INF200K01TL3,200K01TL3,DP,GMF,10,1278.97
INF194KB1IC6,194KB1IC6,DP,OMF,9,12.74
INF194KB1ID4,194KB1ID4,DR,OMF,9,12.74
INF194KB1IE2,194KB1IE2,GR,OMF,9,12.84
INF200K01602,200K01602,DP,OMF,9,40.7
INF200K01HX3,200K01HX3,DP,OMF,9,13.75
INF200K01HY1,200K01HY1,DR,OMF,9,13.75
INF200K01LK2,200K01LK2,DR,OMF,9,2139.44
INF200K01LL0,200K01LL0,DR,OMF,9,1266.05
INF200K01TM1,200K01TM1,DR,GMF,10,1278.97
INF200K01UQ0,200K01UQ0,DR,GMF,10,1144.05
INF200K01UR8,200K01UR8,DP,GMF,10,1282.94
INF200K01US6,200K01US6,DR,GMF,10,1282.94
INF200K01UU2,200K01UU2,DP,GMF,10,1341.8
INF200K01UV0,200K01UV0,DR,GMF,10,1341.8
INF200KA1K20,200KA1K20,DR,GMF,10,12.84
INF204K01BX8,204K01BX8,GR,GMF,10,37.07
INF209K01KQ2,209K01KQ2,DP,GMF,10,100.2
INF209K01KU4,209K01KU4,DP,GMF,10,100.33
INF209K01SQ5,209K01SQ5,DR,GMF,10,100.2
INF209KA1LI1,209KA1LI1,DP,GMF,10,144.32
INF209KA1LJ9,209KA1LJ9,DR,GMF,10,100.33
INF209KA1LM3,209KA1LM3,DR,GMF,10,100.19
INF209KB12O3,209KB12O3,GR,GMF,10,11.86
INF200K01LM8,200K01LM8,DP,OMF,9,1266.05
INF200K01MD5,200K01MD5,DR,OMF,9,1293.03
INF200K01ML8,200K01ML8,DR,OMF,9,1292.73
INF200K01MR5,200K01MR5,DP,OMF,9,1292.72
INF200K01MS3,200K01MS3,DR,OMF,9,1292.72
INF200K01QS4,200K01QS4,DP,OMF,9,18.44
INF200K01QV8,200K01QV8,DP,OMF,9,65.77
INF200K01QW6,200K01QW6,DR,OMF,9,65.77
INF209KB13O1,209KB13O1,DP,GMF,10,10.43
INF209KB1ZD1,209KB1ZD1,DR,GMF,10,1000.02
INF209KB1ZI0,209KB1ZI0,DR,GMF,10,1000.02
INF209KC1076,209KC1076,GR,GMF,10,10.35
INF336L01BK3,336L01BK3,DR,GMF,10,1019.3
INF336L01BL1,336L01BL1,GR,GMF,10,3579.01
INF740K01FL7,740K01FL7,DR,GMF,10,1000.9
INF200K01QY2,200K01QY2,DP,OMF,9,90.6
INF200K01QZ9,200K01QZ9,DR,OMF,9,90.6
INF200K01RB8,200K01RB8,DP,OMF,9,20.73
INF200K01RC6,200K01RC6,DR,OMF,9,20.73
INF200K01RD4,200K01RD4,GR,OMF,9,37.11
INF200K01RH5,200K01RH5,DP,OMF,9,92.51
INF200K01RI3,200K01RI3,DR,OMF,9,92.51
INF200K01RK9,200K01RK9,DP,OMF,9,276.3
INF200K01RL7,200K01RL7,DR,OMF,9,276.3
INF200K01RM5,200K01RM5,GR,OMF,9,392.47
INF200K01RN3,200K01RN3,DP,OMF,9,23.75
INF200K01RO1,200K01RO1,DR,OMF,9,23.75
INF200K01RT0,200K01RT0,DP,OMF,9,175.82
INF200K01RU8,200K01RU8,DR,OMF,9,175.82
INF200K01RV6,200K01RV6,GR,OMF,9,247.55
INF200K01RX2,200K01RX2,DR,OMF,9,90.69
INF200K01RY0,200K01RY0,GR,OMF,9,309.92
INF200K01RZ7,200K01RZ7,DP,OMF,9,64.75
INF200K01SA8,200K01SA8,DR,OMF,9,64.75
INF200K01SB6,200K01SB6,GR,OMF,9,113.79
INF200K01SC4,200K01SC4,DP,OMF,9,95.19
INF200K01SD2,200K01SD2,DR,OMF,9,95.19
INF200K01SL5,200K01SL5,DP,OMF,9,149.19
INF200K01SM3,200K01SM3,DR,OMF,9,149.19
INF200K01SN1,200K01SN1,GR,OMF,9,417.93
INF200K01SP6,200K01SP6,DP,OMF,9,20.46
INF200K01SQ4,200K01SQ4,DR,OMF,9,20.46
INF200K01ST8,200K01ST8,DP,OMF,9,21.51
INF200K01SU6,200K01SU6,DR,OMF,9,21.51
INF200K01T69,200K01T69,DP,OMF,9,145.1
INF200K01TC2,200K01TC2,DP,OMF,9,116.8
INF200K01TD0,200K01TD0,DR,OMF,9,116.8
INF200K01TG3,200K01TG3,DR,OMF,9,2158.22
INF740K01FM5,740K01FM5,DP,GMF,10,1000.9
INF740KA1OB6,740KA1OB6,DR,GMF,10,1000.93
INF740KA1OC4,740KA1OC4,DP,GMF,10,1000.9
INF740KA1OD2,740KA1OD2,DR,GMF,10,1000.9
INF740KA1OE0,740KA1OE0,DR,GMF,10,1000.93
INF200K01TH1,200K01TH1,DP,OMF,9,1274.03
INF200K01TI9,200K01TI9,DR,OMF,9,1274.03
INF200K01TN9,200K01TN9,DP,OMF,9,152.99
INF200K01TO7,200K01TO7,DR,OMF,9,152.99
INF200K01TQ2,200K01TQ2,DP,OMF,9,30.47
INF200K01TR0,200K01TR0,DR,OMF,9,30.47
INF200K01TS8,200K01TS8,GR,OMF,9,76.42
INF200K01TT6,200K01TT6,DP,OMF,9,27.97
INF200K01TU4,200K01TU4,DR,OMF,9,27.97
INF200K01TV2,200K01TV2,DP,OMF,9,23.35
INF200K01TW0,200K01TW0,DR,OMF,9,23.35
INF200K01TX8,200K01TX8,DP,OMF,9,35.36
INF200K01TY6,200K01TY6,DR,OMF,9,35.36
INF200K01TZ3,200K01TZ3,GR,OMF,9,62.07
INF200K01U58,200K01U58,DR,OMF,9,1344.51
INF200K01U82,200K01U82,DP,OMF,9,1198.88
INF200K01U90,200K01U90,DR,OMF,9,1198.88
INF200K01UA4,200K01UA4,DP,OMF,9,27.87
INF789F01PR0,789F01PR0,DP,GMF,10,24.53
INF789F01PS8,789F01PS8,DR,GMF,10,24.53
INF789F01PT6,789F01PT6,GR,GMF,10,44.57
INF789F01TL5,789F01TL5,GR,GMF,10,61.94
INF879O01118,879O01118,DR,GMF,10,1000.54
INF879O01126,879O01126,DR,GMF,10,1000.54
INF879O01142,879O01142,DR,GMF,10,1001.48
INF903JA1KX4,903JA1KX4,DP,GMF,10,1000
INF903JA1KY2,903JA1KY2,DP,GMF,10,1000
INF903JA1KZ9,903JA1KZ9,DP,GMF,10,1173.88
INF903JA1LA0,903JA1LA0,DP,GMF,10,1173.86
INF200K01UB2,200K01UB2,DR,OMF,9,27.87
INF200K01UC0,200K01UC0,DP,OMF,9,29.48
INF955L01468,955L01468,DP,GMF,10,1001.2
INF846K01420,AXISCFDD,DR,GMF,10,1001.4
INF846K01CX4,AXISCFDG,GR,GMF,10,2791.02
INF846K01CY2,AXISCFDM,DP,GMF,10,1005.16
INF200K01UD8,200K01UD8,DR,OMF,9,29.48
INF200K01UE6,200K01UE6,DP,OMF,9,62.21
INF200K01UF3,200K01UF3,DR,OMF,9,62.21
INF200K01UH9,200K01UH9,DP,OMF,9,347.54
INF846K01CZ9,AXISCFDM,DR,GMF,10,1005.16
INF846K01453,AXISCFDP,DP,GMF,10,1005.7
INF846K01461,AXISCFDP,DR,GMF,10,1005.7
INF846K01DA0,AXISCFDR,DR,GMF,10,1000.96
INF846K01DB8,AXISCFDW,DP,GMF,10,1002.62
INF846K01DC6,AXISCFDW,DR,GMF,10,1002.62
INF846K01412,AXISCFGP,GR,GMF,10,2769.1
INF846K01438,AXISCFWD,DP,GMF,10,1002.61
INF846K01446,AXISCFWD,DR,GMF,10,1002.61
INF846K01DD4,AXISCMDG,GR,GMF,10,25.88
INF200K01UI7,200K01UI7,DR,OMF,9,347.54
INF200K01UK3,200K01UK3,DP,OMF,9,118.01
INF200K01UM9,200K01UM9,GR,OMF,9,476.44
INF200K01UN7,200K01UN7,DP,OMF,9,333.96
INF200K01UO5,200K01UO5,DR,OMF,9,333.96
INF200K01UP2,200K01UP2,GR,OMF,9,480.67
INF200K01UW8,200K01UW8,DP,OMF,9,35.67
INF200K01UX6,200K01UX6,DR,OMF,9,35.67
INF200K01UY4,200K01UY4,GR,OMF,9,35.72
INF200K01UZ1,200K01UZ1,DP,OMF,9,20.24
INF200K01V08,200K01V08,GR,OMF,9,3122.55
INF200K01V16,200K01V16,DR,OMF,9,1375.4
INF200K01V40,200K01V40,DP,OMF,9,1271.76
INF200K01V57,200K01V57,DR,OMF,9,1271.76
INF200K01VA2,200K01VA2,DR,OMF,9,20.24
INF200K01VB0,200K01VB0,GR,OMF,9,52.06
INF200K01VF1,200K01VF1,DP,OMF,9,17.9
INF200K01VG9,200K01VG9,DR,OMF,9,17.9
